Provider Name,DBT-A Certified,Adherent Team Only,Full Address (DHS),City,State,ZIP,Phone (DHS),Website (DHS),Logo File,Logo URL (CDN),Contact Page URL,Staff/Team Page URL,Email,Phone (Website),Fax,Services Offered,DBT Services Description,Ages Served,Accepts Insurance,Telehealth Available,In-Person Available,Staff Names,Staff Credentials,Specialties,Sliding Scale,Accepting New Clients,Facebook URL,Instagram URL,Notes,Data Source
Behavioral Health Advocate,Yes,No,"130 Park Ave S, Ste 3, St. Cloud, MN, 56301",St. Cloud,MN,56301,320-251-4571,https://www.bhadvocate.com/,behavioral_health_advocate.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/gMvdgLKJoXmcjKse.png,https://www.bhadvocate.com/contact,https://www.bhadvocate.com/about,info@bhadvocate.com,(320) 251-4571,Not found,"ARMHS, Psychotherapy, Brainspotting, Dialectical Behavior Therapy (DBT), Trauma Focused Cognitive Behavioral Therapy (TF-CBT), Diagnostic Assessment, Resiliency, Stress Management, Grief and Loss Counseling, Cognitive Behavioral Therapy, Emotional Wellness, Anxiety, Depression, Transition, Women’s Issues, Hoarding, Cancer, Child Parent Psychotherapy",Experienced in utilizing a combination of therapies including Dialectical Behavior Therapy (DBT) to help people put therapy into practice in their lives.,All ages,"Yes - BlueCross BlueShield, UCare, Medica, PrimeWest Health, Aetna, HealthPartners, Department of Human Services, UnitedHealth Group",Yes,Yes,"Heather Johnson, Kenny Turck, Kia Cashman, Caitlyn Ramberg, Amal Hassan, Erin Lundquist","Treatment Director, MSW LICSW, MSW LICSW CPRP, LICSW, Administrator, Office Manager","Brainspotting, Trauma, Anxiety, BPD, Eating Disorders, Grief and Loss, Hoarding, Cancer",Unknown,Yes,Not found,Not found,"Services available in: English, Somali, Amharic, Swahili, Nuer, French.",MN DHS + Website Enrichment
Choices Psychotherapy Ltd,No,No,"10201 Wayzata Boulevard, Suite 100, Minnetonka, MN, 55305",Minnetonka,MN,10201,952-544-6806,https://choicespsychotherapy.net/services/dbt/,,,https://choicespsychotherapy.net/contact/,https://choicespsychotherapy.net/about/,Not found,952-544-6806,952-545-0098,"Individual DBT, Family Therapy, Couples Therapy, Psychiatry, CBT, Solution-Focused Therapy, Systemic Therapy, ACT, ART","Dialectical Behavior Therapy (DBT) is one of the most effective, evidence-based treatments for people struggling with intense emotions, impulsive behaviors, or difficulties in relationships. Choices Psychotherapy offers individual DBT therapy sessions to help clients build skills for a healthier, more balanced life.","Children, Adolescents, Adults, Couples, Families",Unknown,Yes,Yes,"Susan Davis, Rachel Moran, Kelli Chesky, Andrea Nordman, Bekah McCann","MS, LICSW, MA, LMFT","Anxiety, Depression, Emotional dysregulation, PTSD, Eating disorders, Impulse control challenges, Self-harm behaviors, Relationship struggles, Trauma, Bipolar Disorder",Unknown,Yes,Not found,Not found,"The Psychiatrists and Therapists affiliated with Choices Psychotherapy (Choices) are not employees of Choices, they are independently licensed professionals.",MN DHS + Website Enrichment
Choices Psychotherapy Ltd,No,No,"7901 Xerxes Ave S, Suite 225, Bloomington, MN, 55431",Bloomington,MN,55431,952-544-6806,https://choicespsychotherapy.net/services/dbt/,,,https://choicespsychotherapy.net/contact/,https://choicespsychotherapy.net/about/,Not found,952-544-6806,952-545-0098,"Individual DBT, Family Therapy, Couples Therapy, Psychiatry, CBT, Solution-Focused Therapy, Systemic Therapy, ACT, ART","Dialectical Behavior Therapy (DBT) is one of the most effective, evidence-based treatments for people struggling with intense emotions, impulsive behaviors, or difficulties in relationships. Choices Psychotherapy offers individual DBT therapy sessions to help clients build skills for a healthier, more balanced life.","Children, Adolescents, Adults, Couples, Families",Unknown,Yes,Yes,"Susan Davis, Rachel Moran, Kelli Chesky, Andrea Nordman, Bekah McCann","MS, LICSW, MA, LMFT","Anxiety, Depression, Emotional dysregulation, PTSD, Eating disorders, Impulse control challenges, Self-harm behaviors, Relationship struggles, Trauma, Bipolar Disorder",Unknown,Yes,Not found,Not found,"The Psychiatrists and Therapists affiliated with Choices Psychotherapy (Choices) are not employees of Choices, they are independently licensed professionals.",MN DHS + Website Enrichment
Choices Psychotherapy Ltd,No,No,"7975 Stone Creek Dr, Suite 130, Chanhassen, MN, 55317",Chanhassen,MN,55317,952-544-6806,https://choicespsychotherapy.net/services/dbt/,,,https://choicespsychotherapy.net/contact/,https://choicespsychotherapy.net/about/,Not found,952-544-6806,952-545-0098,"Individual DBT, Family Therapy, Couples Therapy, Psychiatry, CBT, Solution-Focused Therapy, Systemic Therapy, ACT, ART","Dialectical Behavior Therapy (DBT) is one of the most effective, evidence-based treatments for people struggling with intense emotions, impulsive behaviors, or difficulties in relationships. Choices Psychotherapy offers individual DBT therapy sessions to help clients build skills for a healthier, more balanced life.","Children, Adolescents, Adults, Couples, Families",Unknown,Yes,Yes,"Susan Davis, Rachel Moran, Kelli Chesky, Andrea Nordman, Bekah McCann","MS, LICSW, MA, LMFT","Anxiety, Depression, Emotional dysregulation, PTSD, Eating disorders, Impulse control challenges, Self-harm behaviors, Relationship struggles, Trauma, Bipolar Disorder",Unknown,Yes,Not found,Not found,"The Psychiatrists and Therapists affiliated with Choices Psychotherapy (Choices) are not employees of Choices, they are independently licensed professionals.",MN DHS + Website Enrichment
DBT-PTSD & EMDR Specialist,No,No,"10000 Hwy 55, Suite 300, Plymouth, MN, 55441",Plymouth,MN,10000,763-412-0722,http://www.dbtemdr.com/home,,,Not found,Not found,Not found,Not found,Not found,Unknown,Not found,Unknown,Unknown,Unknown,Unknown,Not found,Not found,Unknown,Unknown,Unknown,Not found,Not found,"Website returned a 404 error, indicating the page could not be loaded.",MN DHS + Website Enrichment
DBT Associates,Yes,No,"7362 University Avenue Northeast, Suite 101, Fridley, MN, 55432",Fridley,MN,55432,763-503-3981,https://www.dbtassociates.com/,,,https://dbtassociates.com/contact-us/,https://dbtassociates.com/staff3/,Not found,763-503-3981,763-503-3981,"Adult DBT Program, Adolescent DBT Program, Adult RO DBT Program, Adolescent RO DBT Program, Professional Consultation, DBT Skills Training, DBT Individual Therapy Mode, RO-DBT Workshop, RO-DBT Professional Supervision, Individual DBT, Group DBT, Skills Training","DBT Associates LLP is a full service DBT (state certified) and RO-DBT clinic treating clients who have borderline personality disorder and other emotion dysregulation related disorders, as well as disorders of over-control such as: obsessive compulsive personality disorder, anorexia, chronic unremitting depression, anxiety disorders and autism spectrum disorders. The clinicians at DBT Associates LLP see adolescents and adults for individual therapy and skills training groups.",Adults and Adolescents,Unknown,Unknown,Yes,"Kristen Fritsinger, Andrea Soles, Breanna Klann, Catherine Johanneck, Hayly Shackleton","MSW, LICSW, LMFT, BS, LADC, LGSW, MA, LPCC","Borderline Personality Disorder, Emotion Dysregulation Related Disorders, Obsessive Compulsive Personality Disorder, Anorexia, Chronic Unremitting Depression, Anxiety Disorders, Autism Spectrum Disorders, Chemical Dependency, Trauma",Unknown,Unknown,Not found,Not found,Credit Cards Accepted is mentioned on the contact page.,MN DHS + Website Enrichment
Elevacare dba Southwest Mental Health Clinic,No,No,"1210 5th Avenue, Worthington, MN, 56187",Worthington,MN,56187,507-376-4141,,,,,,,,,,,,,,,,,,,,,,,MN DHS Only
Evident Social Services,No,No,"7300 Hudson Blvd N, Suite 185, Oakdale, MN, 55128",Oakdale,MN,55128,651-300-0140,https://www.evidentmn.com/,evident_social_services.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/hYtSZHDlIvHaAuPo.png,https://www.evidentmn.com/behavioral-health-care-contact,Not found,info@evidentmn.com,651-300-0140,651-207-6666,"Intensive Residential Treatment Services (IRTS), Integrated Community Support (ICS), Individual Therapy, Adult Rehabilitative Mental Health Services (ARMHS), Medication Management, State-Certified Dialectical Behavioral Therapy (DBT)","Structured therapy focuses on emotional regulation, mindfulness, and coping with distress effectively.",Unknown,Unknown,Unknown,Yes,Not found,Not found,"Mental health challenges, emotional regulation, mindfulness, coping with distress",Unknown,Unknown,Not found,Not found,"Evident Healthcare Management also offers medical staffing and medical transportation services, and operates CLIA-certified labs.",MN DHS + Website Enrichment
Family Services of Rochester,Yes,No,"4600 18th Avenue Northwest, Rochester, MN, 55901",Rochester,MN,55901,507-507-2010,http://familyservicerochester.org/,family_services_of_rochester.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/nZTCKLlXUIklbrzc.png,https://familyservicerochester.org/Contact-Us,Not found,office@familyservicerochester.org,507-287-2010,507-287-7805,"Outpatient Counseling, Family-Based Counseling, School-Based Counseling, Children's Therapeutic Services and Support, Trauma Focused Therapy, Dialectical Behavioral Therapy, Domestic Violence Support, Family Access Center, FATHER Project, Family Advocacy in Recovery and Restoration (FARR), Guiding Partners to Solutions (GPS), Chore and Support Services, Meals on Wheels, Senior Cafe, Home Safety Checks","Adult and Adolescent Comprehensive Dialectical Behavior Therapy (DBT). The goal of DBT is to create a life worth living. DBT is a toolbox overflowing with practical skills for managing overwhelming emotions, improving relationships, and navigating life's challenges. It values both acceptance and change. DBT is based on cognitive theory behavioral theory and dialectical philosophies. It was created to treat suicidal and para-suicidal behaviors, and research now shows significant improvement for emotion regulation and impulsivity by becoming more aware of the moment. It helps people experiencing intense emotions, unhealthy coping mechanisms, difficulty regulating emotions and managing stress, and challenges in relationships and communication. DBT typically involves individual therapy and group skills training (mindfulness, distress tolerance, emotional regulation, and interpersonal effectiveness).",Adults and Adolescents,Unknown,Yes,Yes,"Kate Perry, Joyce Koerner, Kimberly Céspedes Torres, Matthew Erpelding, Thea Hofstad","MS, LPCC, MPS, LADC, MSW, LICSW, MA, LGSW","Borderline Personality Disorder, Intense emotions, Self-harm, Substance abuse, Emotion regulation, Stress management, Relationship challenges, Communication challenges",Unknown,Yes,Not found,Not found,"Fees for services are determined by program and will be discussed with the client. The website mentions ""Immediate openings"" for new mental health clients.",MN DHS + Website Enrichment
Fernbrook Family Center,No,No,"150 10 St NW, Ste 2, Milaca, MN, 56353",Milaca,MN,56353,320-983-2335,https://fernbrook.org/,,,https://fernbrook.org/contact-us,Not found,info@fernbrook.org,(507) 446-0431,(651) 925-0337,"Therapy, Skills, Psychiatric Medication Prescribing, Early Childhood Mental Health, School Linked Mental Health, Children's Mental Health Targeted Case Management, Assessments, Day Treatment",Unknown,"All ages, with specialized services for Early Childhood, Children, and Youth",Unknown,Unknown,Unknown,Not found,Not found,Not found,Unknown,Unknown,Not found,Not found,"Skills services are offered to provide additional practice in the moment when skills are most needed, which may be related to DBT skills. The staff bios page returned a 404 error. Social media links were present on the main page but specific URLs were not found.",MN DHS + Website Enrichment
Healing Connections Therapy Center,No,No,"1751 Southcross Drive West, Burnsville, MN, 55306",Burnsville,MN,55306,952-892-7690,http://www.healingconnectionsonline.com/,healing_connections_therapy_center.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/UIOsfwAFpOYTgnvV.png,https://www.healingconnectionsonline.com/directions/,https://www.healingconnectionsonline.com/about/providers/,info@healingconnectionsonline.com,952-892-7690,952-898-4930,"Individual therapy, Group therapy, Family therapy, Couples therapy, Intensive DBT-focused Day Treatment / intensive outpatient program, Medication Management","At Healing Connections, each of our therapists is 100% certified in DBT. Healing Connections utilizes proven Dialectical Behavior Therapy (DBT) methods to help our clients deal effectively with a wide range of issues.",All ages,"Yes - Aetna, BCBS, Cigna, Health Partners, Medica, Medicaid, Preferred One, Optum/United Behavioral Health (UBH), United Health Care (UHC)",Yes,Yes,"David Bradshaw, Nancy Bradshaw, Allie Asher, Rebecca Clark, Jennifer Edlund","MSEd, LP, RN, CNP, PhD, LICSW, MA, LPCC, CBIS","Trauma, Anxiety, BPD, Eating Disorders",Unknown,Unknown,Not found,Not found,Unknown,MN DHS + Website Enrichment
Healthy Minds,No,No,"400 Selby Ave, Ste Q, St. Paul, MN, 55102",St. Paul,MN,55102,651-571-2865,https://www.healthyminds.io/,healthy_minds.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/mLRaIxbdIIsxKXzy.png,https://www.healthyminds.io/Contact%20Healthy%20Minds,https://www.healthyminds.io/About%20Healthy%20Minds,Not found,Not found,Not found,"Individual DBT, Group DBT, Skills Training, General Individual Therapy, Guided Workshops","At Healthy Minds, we use Dialectical Behavior Therapy (DBT) to help clients move beyond insight alone—building practical skills that support intentional, values-aligned choices in daily life.","12-17, 17-27, 20-30, 30-39, 40+, Adults, Young Adults, Adolescents",Unknown,Unknown,Unknown,"Britney Bennett, Caitlin Myers, Carin Osvog, David Romano","LGSW, Psychotherapist, DBT Specialist, MSW, LICSW, MS, LPCC, Founder of HM","BIPOC, LGBTQ+, Trauma, Anxiety, BPD, Emotion dysregulation and reactivity, anxiety and chronic stress, relationship and interpersonal challenges, shame and self-criticism, life transitions and identity development, emotional intensity, identity exploration",Unknown,Unknown,https://www.facebook.com/healthyminds.io/,Not found,"Contact form available for inquiries. Offers DBT groups for adults, LGBTQ+, and emerging adults (ages 20-30).",MN DHS + Website Enrichment
HP Psychological Associates PC,No,No,"4815 Burning Tree Road, Ste 200, Duluth, MN, 55811",Duluth,MN,55811,218-464-0908,http://www.hppsychological.com/,,,https://www.hppsychological.com/locations-contact,https://www.hppsychological.com/duluth-clinical-team,officesupport@hppsychological.com,(218) 464-0908,(218) 722-4400,"Individual Therapy, Psychological Evaluations, Neuropsychological Evaluations, Accelerated Resolution Therapy (ART), Somatic Experiencing (SE), Internal Family Systems (IFS), Couples Therapy, Dialectical Behavior Therapy (DBT), Family Therapy, Art Therapy Group, Trauma Focused Cognitive Behavioral Therapy, Family Systems Trauma Therapy","I am a DBT therapist and group leader working with individuals in understanding Mindfulness, Interpersonal Effectiveness, Emotion Regulation and Distress Tolerance skills and how to effectively use these tools and strategies to help in everyday life.","Adults, Adolescents, Children",Unknown,Yes,Yes,"Dr. Kimberly Overlie, Pam Baillie-Johnson, Peter Kroll, Dr. Sara Dhuse, Laura Nechanicky-Booth","PhD, LP, NPT-C, MA, LMFT, SEP, MSE, LMFT, MS, LPCC, PsyD","neuropsychology, trauma, personality disorders, developmental/relational trauma, relationship issues, life transitions, personal guilt and shame, stress, codependency, avoidance behaviors, self-esteem, anxiety, depression, grief and loss, Borderline Personality Disorders, communication improvement, substance use issues, emotional dysregulation, PTSD, behavioral issues, family, career and relationship stressors, conflict management, anger management, body image, self-concept, adjustment",Unknown,Unknown,Not found,Not found,The email is not HIPAA compliant.,MN DHS + Website Enrichment
Integrity Counseling,No,No,"155 2nd St SW, Perham, MN, 56573",Perham,MN,56573,218-422-6131,https://intcounseling.com/,integrity_counseling.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/DJiYQhkQAVUtoIMo.png,https://intcounseling.com/contact/,,kellie@intcounseling.com,218-422-6131,218-346-2060,"Individual Counseling, Marriage & Relationship Counseling, Family Counseling",Not found,All ages,"Yes - Aetna, Blue Cross Blue Shield, Blue Plus/Medicaid, Cigna, Community Care Network for veterans, Headspace EAP, Health Partners, Lakes Area Community Health Plan, Medica, Medicare, Preferred One, Primewest, Railroad Medicare, Sanford Health Plan, South Country Health Alliance, Tri-West, Ucare, United Behavioral Health, Village EAP",Unknown,Yes,Bridgit Pankonin,LPCC,"ADHD, Adjustment, Anger, Attachment, Anxiety, Career Issues, Depression, Fear, Forgiveness, Grief, Guilt/Shame, Loss, Mental Illness, Panic Attacks, PTSD, Postpartum Depression, Stress, Trauma, Self Harm, Suicidal Thoughts/Gestures",Unknown,Unknown,https://www.facebook.com/intcounseling/,Not found,,MN DHS + Website Enrichment
Independent Management Services,Yes,No,"101 21st Street, Suite 1, Austin, MN, 55912",Austin,MN,55912,507-437-6389,https://www.imsofmn.com/,independent_management_services.png,https://files.manuscdn.com/user_upload_by_module/session_file/310519663525543262/UGGCNiKgvPypRDGt.png,https://www.imsofmn.com/contact/,https://www.imsofmn.com/providers/,info@imsofmn.com,507-437-6389,507-437-0977,"Addiction Services, Adult Mental Health, Children's Mental Health, Clinical Therapy, Disability Services, Guardianship & Conservatorship, Medication Services, Social Security Advocacy",Unknown,Adults and Adolescents,Unknown,Unknown,Yes,"Ryan Thorson, Scott Westbrock, Heather Peterson, Lisa Tuttle, Elizabeth Carlton","PhD, LP, MSW, LICSW, MBA, CFE, MA, LPCC",Unknown,Unknown,Unknown,https://www.facebook.com/imsofmn/,https://www.instagram.com/imsofmn/,"The provider has four locations in Albert Lea and Austin, MN.",MN DHS + Website Enrichment
