Provider,Street Address,City,State,Zip Code,Website,Telephone,Expiration Date
Minnesota Center for Psychology LLCDBT-A Certified Provider,"2324 University Avenue WestSuite 120St Paul, MN",,,,https://www.minnesotacenterforpsychology.com/dialectical-behavior-therapy,651-644-4100,"July 31, 2026"
Mindfully Healing Inc,"4154 Shoreline Drive Suite 202 Spring Park, MN",,,,https://mindfullyhealing.com/,952-491-9450,"February 5, 2025"
Mindfully Healing Inc,"101 Main Street South Suite 102 Hutchinson, MN",,,,https://mindfullyhealing.com/,952-491-9450,"February 5, 2025"
Mindfully Healing Inc,"10650 Red Circle Dr Suite 103 Minnetonka, MN",,,,https://mindfullyhealing.com/,952-491-9450,"February 5, 2025"
Natalis Counseling and Psychology Solutions,"1600 University Avenue WestSt Paul, MN",,,,https://www.natalispsychology.com/,651-379-5157,"November 12, 2026"
Northern Pines Mental Health Center IncDBT-A Certified Provider,"520 5thStreet NorthwestBrainerd, MN 56401",,,,http://www.npmh.org/,218-892-3235,"June 10, 2026"
Northern Pines Mental Health Center IncDBT-A Certified Provider,1906 5thAvenue SELittle Falls MN 56345,,,,http://www.npmh.org/,320-639-2025,"June 10, 2026"
Northern Pines Mental Health Center IncDBT-A Certified Provider,16 9thAve SE,Long Prairie,MN,56347,http://www.npmh.org/,320-639-2025,"June 10, 2026"
Northern Pines Mental Health Center IncDBT-A Certified Provider,"11 2ndSt W Wadena, MN",,,,http://www.npmh.org/,320-639-2025,"June 10, 2026"
Northland Counseling Center - Grand Rapids,"215 SE 2ndAvenueGrand Rapids, MN 55744",,,,https://northlandcounseling.org/mental-health/dialectical-behavior-therapy/,218-326-1274,"August 31, 2026"
Northland Counseling Center - International Falls,"900 5thStreetSuite 305International Falls, MN 56649",,,,http://northlandcounselingifalls.org/,218-283-3406,"August 31, 2026"
Northland Counseling Center-Grand Rapids,3130 SE 2ndAve,Grand Rapids,MN,55744,http://northlandcounselingifalls.org/,218-283-3406,"August 31, 2026"
Northland Counseling Center _International Falls,1902 Valley Pine Circle,International Falls,MN,56649,http://northlandcounselingifalls.org/,218-283-3406,"August 31, 2026"
Nystrom and Associates Ltd,"1101 East 78thStreetSuite 100Bloomington, MN 55420",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,952-854-5034,"December 12, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"11660 Round Lake Boulevard NorthwestCoon Rapids, MN, 55433",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,763-767-3350,"December 12, 2026"
Nystrom and Associates Ltd,"332 West Superior StreetSuite 300Duluth, MN 55802",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,218-722-4379,"December 12, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"11010 Prairie Lakes DriveSuite 350Eden Prairie, MN 55344",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,952-746-2522,"December 12, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"17685 Juniper Path Suite 303 Lakeville, MN",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,952-214-8959,"April 6, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"201 North Broad StreetMankato, MN 56011",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy-dbt/,507-225-1500,"June 30, 2025"
Nystrom and Associates LtdDBT-A Certified Provider,"13603 80thCircle NorthMaple Grove, MN 55369",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,763-274-3120,"December 12, 2026"
Nystrom and Associates Ltd,"13100 Wayzata BoulevardSuite 200Minnetonka, MN 55305",,,,https://www.nystromcounseling.com/,952-206-2040,"December 12, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"1900 Silver Lake RoadSuite 110New Brighton, MN 55112",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,651-628-9566,"December 12, 2026"
Nystrom and Associates Ltd,"9245 Quantrelle AvenueOtsego, MN",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,763-746-9492,"December 12, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"101 Delher DriveSt. Cloud, MN 56377",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,320-253-3512,"December 12, 2026"
Nystrom and Associates LtdDBT-A Certified Provider,"1811 Weir DriveSuite 270Woodbury, MN 55125",,,,https://www.nystromcounseling.com/our-locations/minnesota/woodbury-clinic/,651-714-9646,"December 12, 2026"
Nystrom and Associates Ltd,"2405 8th Street SouthSuite 200Moorhead, MN 56560",,,,https://www.nystromcounseling.com/our-services/dialectical-behavior-therapy/,952-997-3020,"December 12, 2026"
Olmsted County DBT Program,"2100 Campus Drive SoutheastSuite 200Rochester, MN 55904",,,,https://www.olmstedcounty.gov/residents/services-individuals-families/adults-seniors/adult-behavioral-health#considering-dbt4,507-328-6400,"June 5, 2026"
Omni Mental Health,"245 Ruth Street NorthSuite 101St. Paul, MN",,,,https://www.omnimentalhealth.com/,651-955-4633,"August 31, 2026"
Omni Mental Health,"9298 Central Ave NESuite 310Blaine, MN",,,,https://www.omnimentalhealth.com/,651-955-4633,"August 31, 2026"
Omni Mental Health,268 S Main St,Zumbrota,MN,55992,https://www.omnimentalhealth.com/,651-955-4633,"August 31, 2026"
Omni Mental Health,2 N Minnesota St,New Ulm,MN,56073,https://www.omnimentalhealth.com/,651-955-4633,"August 31, 2026"
Parker Collins Family Mental HealthDBT-A Certified,1056 Centerville Circle,Vadnais Heights,MN,55127,https://parkercollins.com/,615-604-7771,"February 17, 2026"
Psych Recovery Inc.,"2550 University Ave WestSuite 229NSt Paul, MN",,,,http://www.psychrecoveryinc.com/dbt.html,651-645-3115,"September 21, 2028"
RADIAS HealthDBT-A Certified Provider,"166 4thStreet EastSt Paul, MN",,,,http://www.south-metro.org/programs/,651-389-4690,"April 20, 2026"
Riverstone Psychological Services Inc.DBT-A Certified Provider,"511 Northern Hills Drive NortheastSuite 2Rochester, MN 55906",,,,https://www.riverstonepsych.com/,507-696-2523,"December 16, 2024"
Schmidt Counseling Services IncDBA: Southbridge Counseling Associates,"8646 Eagle Creek CircleSuite 213Savage, MN",,,,http://www.southbridgecounseling.com/,952-583-1055,"November 3, 2024"
Secure Base Counseling CenterDBT-A Certified Provider,"570 Professional DriveNorthfield, MN 55057",,,,https://www.securebasecounselingcenter.com/,507-301-3412,"May 26, 2026"
Secure Base Counseling CenterDBT-A Certified Provider,213 First St,Farmington,MN,55024,https://www.securebasecounselingcenter.com/,507-301-3412,"May 26, 2026"
Secure Base Counseling CenterDBT-A Certified Provider,301 E Main St,New Prague,MN,56071,https://www.securebasecounselingcenter.com/,507-301-3412,"May 26, 2026"
Solutions Behavioral Health Center,"891 Belsly BoulevardMoorhead, MN 56560",,,,https://www.solutionsinpractice.org/,218-287-4338,"August 31, 2026"
Solutions Behavioral Health Center,"1104 West River RoadDetroit Lakes, MN 56051",,,,https://www.solutionsinpractice.org/,218-844-6853,"August 31, 2026"
Solutions Behavioral Health Center,1806 Fir Avenue E,Suite 200Fergus Falls,MN,56537,https://www.solutionsinpractice.org/,218-988-2992,"August 31, 2026"
Solutions Behavioral Health Center,423 Great Oak Dr,Waite Park,MN,56387,https://www.solutionsinpractice.org/,320-281-5305,"August 31, 2026"
Tiny Tree Counseling & Consulting LLC,"3137 Hennepin Ave S Suite 105 Minneapolis, MN",,,,https://www.tinytreecounseling.com/,833-482-5546,"March 4, 2025"
Tubman Chrysalis Center,"4432 Chicago Avenue SouthMinneapolis, MN 55407",,,,https://www.tubman.org/,612-870-2426,"May 7, 2024"
Volunteers of America of MN Mental Health Clinic dba Vona Center for Mental Health by Volunteers of America of MNDBT-A Certified Provider,9220 Bass Lake RoadSuite 255New Hope MN 55422,,,,http://www.voamnwi.org/dbt-outpatient-therapy,763-225-4029,"August 31, 2026"
Washburn Center for Children,1100 Glenwood Ave,Minneapolis,MN,55405,https://washburn.org/,612-871-1454,"June 26, 2025"
Western Mental Health ClinicDBT-A Certified Provider,"1212 East College DriveMarshall, MN 56258-2010",,,,http://wmhcinc.org/,507-532-3236,"July 31, 2026"
Western Mental Health ClinicDBT-A Certified Provider,"112 St. Olaf Ave S.Canby, MN 56220",,,,http://wmhcinc.org/,800-658-2429,"July 31, 2026"
Western Mental Health ClinicDBT-A Certified Provider,"818 Prentice Drive Granite Falls, MN 56241",,,,http://wmhcinc.org/,800-658-2449,"July 31, 2026"
Western Mental Health ClinicDBT-A Certified Provider,2001 Maple St,Slayton,MN,56172,http://wmhcinc.org/,800-658-2249,"July 31, 2026"
Western Mental Health ClinicDBT-A Certified Provider,"101 Caring WayRedwood Falls, MN 56283",,,,http://wmhcinc.org/,507-532-3236,"July 31, 2026"
Western Mental Health ClinicDBT-A Certified Provider,"2042 Juniper Driver Slayton, MN 56172",,,,http://wmhcinc.org/,800-658-2429,"July 31, 2026"
Western Mental Health ClinicDBT-A Certified Provider,240 Willow St,Tyler,MN,56178,http://wmhcinc.org/,800-658-2429,"July 31, 2026"
Wholehearted Healing LLC,6381 Osgood Ave North Building C,Stillwater,MN,55082,https://www.wholeheartedhealingllc.com/,612-217-1560,"July 18, 2025"
